Model,Test set accuracy,Test set MCC,ECE
Log Reg,0.704 +/- 0.0130,0.128 +/- 0.0661,NA 
SVC,0.717 +/- 0.00496,0.187 +/- 0.0510,NA 
RF,0.719 +/- 0.00978,0.189 +/- 0.0457,NA 
Neural Net,0.734 +/- 0.00413,0.224 +/- 0.0259,0.405 +/- 0.0241
BLL with Laplace,0.721 +/- 0.0193,0.275 +/- 0.0486,0.327 +/- 0.0352
BLL with SGLD,0.724 +/- 0.0122,0.245 +/- 0.0432,0.405 +/- 0.0276
